input: 1  single: 1  meta: 1  metameta: 1  metametameta: 1
input: 2  single: 3  meta: 4  metameta: 5  metametameta: 6
input: 3  single: 6  meta: 10  metameta: 15  metametameta: 21
input: 4  single: 10  meta: 20  metameta: 35  metametameta: 56
input: 5  single: 15  meta: 35  metameta: 70  metametameta: 126
input: 6  single: 21  meta: 56  metameta: 126  metametameta: 252
input: 7  single: 28  meta: 84  metameta: 210  metametameta: 462
input: 8  single: 36  meta: 120  metameta: 330  metametameta: 792
input: 9  single: 45  meta: 165  metameta: 495  metametameta: 1287
input: 10  single: 55  meta: 220  metameta: 715  metametameta: 2002
input: 11  single: 66  meta: 286  metameta: 1001  metametameta: 3003
input: 12  single: 78  meta: 364  metameta: 1365  metametameta: 4368
input: 13  single: 91  meta: 455  metameta: 1820  metametameta: 6188
input: 14  single: 105  meta: 560  metameta: 2380  metametameta: 8568
input: 15  single: 120  meta: 680  metameta: 3060  metametameta: 11628
input: 16  single: 136  meta: 816  metameta: 3876  metametameta: 15504
input: 17  single: 153  meta: 969  metameta: 4845  metametameta: 20349
input: 18  single: 171  meta: 1140  metameta: 5985  metametameta: 26334
input: 19  single: 190  meta: 1330  metameta: 7315  metametameta: 33649
input: 20  single: 210  meta: 1540  metameta: 8855  metametameta: 42504
input: 21  single: 231  meta: 1771  metameta: 10626  metametameta: 53130
input: 22  single: 253  meta: 2024  metameta: 12650  metametameta: 65780
input: 23  single: 276  meta: 2300  metameta: 14950  metametameta: 80730
input: 24  single: 300  meta: 2600  metameta: 17550  metametameta: 98280
input: 25  single: 325  meta: 2925  metameta: 20475  metametameta: 118755
input: 26  single: 351  meta: 3276  metameta: 23751  metametameta: 142506
input: 27  single: 378  meta: 3654  metameta: 27405  metametameta: 169911
input: 28  single: 406  meta: 4060  metameta: 31465  metametameta: 201376
input: 29  single: 435  meta: 4495  metameta: 35960  metametameta: 237336
input: 30  single: 465  meta: 4960  metameta: 40920  metametameta: 278256
input: 31  single: 496  meta: 5456  metameta: 46376  metametameta: 324632
input: 32  single: 528  meta: 5984  metameta: 52360  metametameta: 376992
input: 33  single: 561  meta: 6545  metameta: 58905  metametameta: 435897
input: 34  single: 595  meta: 7140  metameta: 66045  metametameta: 501942
input: 35  single: 630  meta: 7770  metameta: 73815  metametameta: 575757
input: 36  single: 666  meta: 8436  metameta: 82251  metametameta: 658008
input: 37  single: 703  meta: 9139  metameta: 91390  metametameta: 749398
input: 38  single: 741  meta: 9880  metameta: 101270  metametameta: 850668
input: 39  single: 780  meta: 10660  metameta: 111930  metametameta: 962598
input: 40  single: 820  meta: 11480  metameta: 123410  metametameta: 1086008
input: 41  single: 861  meta: 12341  metameta: 135751  metametameta: 1221759
input: 42  single: 903  meta: 13244  metameta: 148995  metametameta: 1370754
input: 43  single: 946  meta: 14190  metameta: 163185  metametameta: 1533939
input: 44  single: 990  meta: 15180  metameta: 178365  metametameta: 1712304
input: 45  single: 1035  meta: 16215  metameta: 194580  metametameta: 1906884
input: 46  single: 1081  meta: 17296  metameta: 211876  metametameta: 2118760
input: 47  single: 1128  meta: 18424  metameta: 230300  metametameta: 2349060
input: 48  single: 1176  meta: 19600  metameta: 249900  metametameta: 2598960
input: 49  single: 1225  meta: 20825  metameta: 270725  metametameta: 2869685
input: 50  single: 1275  meta: 22100  metameta: 292825  metametameta: 3162510
input: 51  single: 1326  meta: 23426  metameta: 316251  metametameta: 3478761
input: 52  single: 1378  meta: 24804  metameta: 341055  metametameta: 3819816
input: 53  single: 1431  meta: 26235  metameta: 367290  metametameta: 4187106
input: 54  single: 1485  meta: 27720  metameta: 395010  metametameta: 4582116
input: 55  single: 1540  meta: 29260  metameta: 424270  metametameta: 5006386
input: 56  single: 1596  meta: 30856  metameta: 455126  metametameta: 5461512
input: 57  single: 1653  meta: 32509  metameta: 487635  metametameta: 5949147
input: 58  single: 1711  meta: 34220  metameta: 521855  metametameta: 6471002
input: 59  single: 1770  meta: 35990  metameta: 557845  metametameta: 7028847
input: 60  single: 1830  meta: 37820  metameta: 595665  metametameta: 7624512
input: 61  single: 1891  meta: 39711  metameta: 635376  metametameta: 8259888
input: 62  single: 1953  meta: 41664  metameta: 677040  metametameta: 8936928
input: 63  single: 2016  meta: 43680  metameta: 720720  metametameta: 9657648
input: 64  single: 2080  meta: 45760  metameta: 766480  metametameta: 10424128
input: 65  single: 2145  meta: 47905  metameta: 814385  metametameta: 11238513
input: 66  single: 2211  meta: 50116  metameta: 864501  metametameta: 12103014
input: 67  single: 2278  meta: 52394  metameta: 916895  metametameta: 13019909
input: 68  single: 2346  meta: 54740  metameta: 971635  metametameta: 13991544
input: 69  single: 2415  meta: 57155  metameta: 1028790  metametameta: 15020334
input: 70  single: 2485  meta: 59640  metameta: 1088430  metametameta: 16108764
input: 71  single: 2556  meta: 62196  metameta: 1150626  metametameta: 17259390
input: 72  single: 2628  meta: 64824  metameta: 1215450  metametameta: 18474840
input: 73  single: 2701  meta: 67525  metameta: 1282975  metametameta: 19757815
input: 74  single: 2775  meta: 70300  metameta: 1353275  metametameta: 21111090
input: 75  single: 2850  meta: 73150  metameta: 1426425  metametameta: 22537515
input: 76  single: 2926  meta: 76076  metameta: 1502501  metametameta: 24040016
input: 77  single: 3003  meta: 79079  metameta: 1581580  metametameta: 25621596
input: 78  single: 3081  meta: 82160  metameta: 1663740  metametameta: 27285336
input: 79  single: 3160  meta: 85320  metameta: 1749060  metametameta: 29034396
input: 80  single: 3240  meta: 88560  metameta: 1837620  metametameta: 30872016
input: 81  single: 3321  meta: 91881  metameta: 1929501  metametameta: 32801517
input: 82  single: 3403  meta: 95284  metameta: 2024785  metametameta: 34826302
input: 83  single: 3486  meta: 98770  metameta: 2123555  metametameta: 36949857
input: 84  single: 3570  meta: 102340  metameta: 2225895  metametameta: 39175752
input: 85  single: 3655  meta: 105995  metameta: 2331890  metametameta: 41507642
input: 86  single: 3741  meta: 109736  metameta: 2441626  metametameta: 43949268
input: 87  single: 3828  meta: 113564  metameta: 2555190  metametameta: 46504458
input: 88  single: 3916  meta: 117480  metameta: 2672670  metametameta: 49177128
input: 89  single: 4005  meta: 121485  metameta: 2794155  metametameta: 51971283
input: 90  single: 4095  meta: 125580  metameta: 2919735  metametameta: 54891018
input: 91  single: 4186  meta: 129766  metameta: 3049501  metametameta: 57940519
input: 92  single: 4278  meta: 134044  metameta: 3183545  metametameta: 61124064
input: 93  single: 4371  meta: 138415  metameta: 3321960  metametameta: 64446024
input: 94  single: 4465  meta: 142880  metameta: 3464840  metametameta: 67910864
input: 95  single: 4560  meta: 147440  metameta: 3612280  metametameta: 71523144
input: 96  single: 4656  meta: 152096  metameta: 3764376  metametameta: 75287520
input: 97  single: 4753  meta: 156849  metameta: 3921225  metametameta: 79208745
input: 98  single: 4851  meta: 161700  metameta: 4082925  metametameta: 83291670
input: 99  single: 4950  meta: 166650  metameta: 4249575  metametameta: 87541245
input: 100  single: 5050  meta: 171700  metameta: 4421275  metametameta: 91962520
